PC;VMY.PM;SLI;SLP;P.Max;VO_N;GMax_4CP
1.4823000;1.4921000;2.3013880;2.5000000;-6.3000000;0.0050105;3
1.4665000;1.4685000;2.9673930;3.0000000;-8.4000000;0.0034610;4
1.4456000;1.4647000;2.4485281;2.5000000;-2.2000000;0.0099173;1
1.4587000;1.4683000;1.9699873;2.5000000;-1.6000000;0.0082238;1
1.4594000;1.4588000;2.5416349;2.7000000;-1.1000000;0.0032206;3
1.4732000;1.4778000;1.8168340;2.5000000;-0.7000000;0.0070620;1
1.4713000;1.4736000;2.5464260;2.7000000;-0.8000000;0.0026520;3
1.4758000;1.4798000;2.0238931;2.5000000;-1.6000000;0.0036308;3
1.4770000;1.4777000;2.7100863;2.8000000;-1.4000000;0.0014477;4
1.4837000;1.4951000;1.7169871;2.5000000;-1.3000000;0.0063421;2
1.4825000;1.4847000;2.7126421;2.8000000;-2.3000000;0.0016558;4
